O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.064	0.126	0.097	0.398	0.931	0.05	0.184	0.05	0.119
3.063	0.098	0.209	0.315	0.973	0.027	0.146	0.008	0.164
3.156	0.118	0.128	0.314	1.023	0.02	0.253	0.049	0.072
3.208	0.129	0.081	0.49	1.022	0.026	0.085	0	0.178
3.046	0.081	0.146	0.321	0.981	0.033	0.123	0.036	0.18
2.971	0.095	0.14	0.32	1.002	0.055	0.107	0	0.144
3.101	0.099	0.139	0.356	0.977	0.029	0.113	0.005	0.223
2.732	0.02	0.094	0.21	0.964	0.043	0.219	0	0.129
3.177	0.05	0.066	0.315	0.989	0.041	0.288	0	0.228
3.01	0.11	0.144	0.365	0.948	0.019	0.143	0.002	0.151
3.079	0.078	0.083	0.411	0.967	0.049	0.176	0	0.151
2.833	0.083	0.155	0.295	0.903	0.035	0.166	0	0.178
2.918	0.138	0.137	0.404	0.882	0.024	0.233	0	0.09
2.912	0.099	0.073	0.383	1.023	0.023	0.116	0	0.031
2.767	0.044	0.078	0.215	0.945	0.03	0.272	0.035	0.089
3.179	0.101	0.126	0.318	1.036	0.036	0.339	0.012	0.066
3.009	0.076	0.17	0.304	0.928	0.016	0.097	0.041	0.277
3.003	0.057	0.139	0.285	0.985	0.011	0.204	0	0.219
3.054	0.076	0.16	0.339	0.981	0.076	0.151	0.021	0.135
3.244	0.102	0.296	0.371	0.949	0.033	0.151	0	0.203
3.247	0.097	0.124	0.355	0.956	0.028	0.228	0.022	0.248
2.685	0.128	0.062	0.297	0.941	0.016	0.186	0.002	0.031
2.744	0.048	0.057	0.315	0.922	0.056	0.116	0.022	0.121
3.197	0.039	0.142	0.387	1.022	0.051	0.137	0.055	0.12
3.13	0.165	0.121	0.316	1.007	0.067	0.141	0.032	0.15
3.218	0.088	0.145	0.349	1	0.05	0.176	0.039	0.222
3.106	0.127	0.199	0.4	1.005	0.023	0.094	0.024	0.058
3.095	0.095	0.011	0.436	0.935	0.049	0.212	0.029	0.215
3.094	0.092	0.028	0.422	1.008	0.036	0.207	0.023	0.09
